"id","surface","source","file","line","occurrences","locale","key","current_text","suggested_text","notes"
"i18n.ja.dashboard.flow.step2.title","frontstage","i18n","src/lib/i18n.ts","40","1","ja","dashboard.flow.step2.title","物件と関係者を紐づけ","","Can be edited in CSV and migrated back to i18n source."
"i18n.ja.dashboard.flow.step2.desc","frontstage","i18n","src/lib/i18n.ts","41","1","ja","dashboard.flow.step2.desc","関係情報を統合して確認","","Can be edited in CSV and migrated back to i18n source."
"i18n.ja.dashboard.flow.step3.title","frontstage","i18n","src/lib/i18n.ts","42","1","ja","dashboard.flow.step3.title","契約を整理する","","Can be edited in CSV and migrated back to i18n source."
"i18n.ja.dashboard.flow.step3.desc","frontstage","i18n","src/lib/i18n.ts","43","1","ja","dashboard.flow.step3.desc","契約タイプ別に履歴を管理","","Can be edited in CSV and migrated back to i18n source."
"i18n.ja.dashboard.flow.step4.title","frontstage","i18n","src/lib/i18n.ts","44","1","ja","dashboard.flow.step4.title","標準帳票を出力","","Can be edited in CSV and migrated back to i18n source."
"i18n.ja.dashboard.flow.step4.desc","frontstage","i18n","src/lib/i18n.ts","45","1","ja","dashboard.flow.step4.desc","提案書・明細・受領書を出力","","Can be edited in CSV and migrated back to i18n source."
"i18n.ja.dashboard.importJobs.title","frontstage","i18n","src/lib/i18n.ts","46","1","ja","dashboard.importJobs.title","資料読取状況","","Can be edited in CSV and migrated back to i18n source."
"i18n.ja.dashboard.importJobs.subtitle","frontstage","i18n","src/lib/i18n.ts","47","1","ja","dashboard.importJobs.subtitle","未整理の資料を優先対応","","Can be edited in CSV and migrated back to i18n source."
"i18n.ja.dashboard.importJobs.empty","frontstage","i18n","src/lib/i18n.ts","48","1","ja","dashboard.importJobs.empty","未整理の資料はありません。","","Can be edited in CSV and migrated back to i18n source."
"i18n.ja.dashboard.importJobs.target","frontstage","i18n","src/lib/i18n.ts","49","1","ja","dashboard.importJobs.target","対象","","Can be edited in CSV and migrated back to i18n source."
"i18n.ja.dashboard.requests.title","frontstage","i18n","src/lib/i18n.ts","50","1","ja","dashboard.requests.title","対応履歴","","Can be edited in CSV and migrated back to i18n source."
